,Data,transitivity,grauMedio,average_path_length,modularity,global_average_link_distance,eccentricity,eigenvector,coreness,links,oni,flag
0,1950-01-02,0.5715088080180502,24.54743186582809,32.287577297666175,0.8502521434084122,8.69042993051167e-05,29.493710691823896,0.010018867061300191,14.893867924528301,93673,-1.53,0
1,1950-02-01,0.5723291027720019,24.58595387840671,34.965362651020456,0.8540225594250804,8.731070726909244e-05,31.82075471698113,0.010737074742254313,14.909329140461216,93820,-1.34,0
2,1950-03-01,0.5719792986214302,24.146226415094336,35.34486768084612,0.8502003552902906,8.470320395689391e-05,34.89164046121593,0.01525527180253894,14.672955974842765,92142,-1.16,0
3,1950-04-01,0.5712067623256305,24.01074423480084,41.98711753640878,0.8469024501897501,8.463888594869699e-05,34.248689727463315,0.011041623877894908,14.588574423480086,91625,-1.18,0
4,1950-05-01,0.5731789097208639,24.162735849056602,36.643803398198955,0.8437453465418558,8.681257937338937e-05,28.339622641509433,0.011484505355535262,14.660246331236895,92205,-1.07,0
5,1950-06-01,0.5688319300455448,23.705450733752624,58.94464427345482,0.8463573662782058,8.51646908795731e-05,26.255372117400423,0.01040105868775486,14.339491614255765,90460,-0.85,0
6,1950-07-01,0.5661550989018446,23.46436058700209,44.50357525315338,0.8545200505235383,8.184323740424555e-05,31.83660901467505,0.009139934922911742,14.174135220125786,89540,-0.54,0
7,1950-08-01,0.5650731635398621,23.147274633123693,43.99297844332961,0.8411219452146301,7.737696016794263e-05,37.49646226415094,0.011467093553779327,14.028432914046117,88330,-0.42,0
8,1950-09-01,0.5653758636215749,22.81918238993711,45.08830728653701,0.8498986641625732,7.558453475568411e-05,41.5276467505241,0.011384824954600092,13.915880503144654,87078,-0.39,0
9,1950-10-01,0.5659712578340758,22.68553459119497,49.89974157187925,0.8480007448404236,7.553681625308642e-05,34.373689727463315,0.010933070021651763,13.857835429769391,86568,-0.44,0
10,1950-11-01,0.5658098367551885,22.46514675052411,52.0985893287531,0.846749980211129,7.552460681479297e-05,36.70047169811321,0.011111469092873142,13.707285115303984,85727,-0.6,0
11,1950-12-01,0.5647267627853981,22.11425576519916,54.6012163298935,0.8477448018625199,7.265197284556302e-05,37.68854821802936,0.010684745947802792,13.464360587002096,84388,-0.8,0
12,1951-01-01,0.5631967850315303,22.290356394129983,61.312987312866774,0.8451002769293186,7.297069805307303e-05,37.57127882599581,0.009045407564444956,13.532232704402515,85060,-0.82,0
13,1951-02-01,0.5596599817425657,22.0125786163522,50.744218660671045,0.8488235534297053,7.126360884378126e-05,31.613862683438157,0.014110576978523947,13.428066037735848,84000,-0.54,0
14,1951-03-01,0.5601682655190724,22.27437106918239,63.81036934335205,0.8505339727231606,7.295639337233436e-05,29.814596436058697,0.014685758741718909,13.533411949685535,84999,-0.17,0
15,1951-04-01,0.5594243954620345,22.26493710691824,46.88248969021043,0.8493694210895378,7.396184412692044e-05,31.04428721174004,0.009080350652035916,13.511923480083857,84963,0.18,0
16,1951-05-01,0.5587899151735555,22.258909853249477,61.327110302866465,0.8560469797819578,7.56907459384784e-05,26.739517819706503,0.009107577819388578,13.546776729559749,84940,0.36,0
17,1951-06-01,0.5594984647036371,22.712002096436056,26.949181446252414,0.851862357807343,7.828553131538259e-05,25.726939203354302,0.009341459877992822,13.743317610062896,86669,0.58,1
18,1951-07-01,0.5604063143323632,23.81839622641509,27.629627214327964,0.8499921066484097,9.13177603824202e-05,28.05935534591195,0.012027882693211934,14.399109014675052,90891,0.7,1
